dataset.id,dataset.name,dataset.license_title,dataset.license_id,dataset.isopen,dataset.tracking_summary.total,dataset.tracking_summary.recent,resource.id,resource.name,resource.created,resource.revision_timestamp,resource.format,resource.url,resource_tracking_summary_total,resource_tracking_summary_recent
a3258e04-ed56-48b7-9cd3-0d7facb1e379,asjp,Creative Commons Attribution,cc-by,True,0,0,7ffdd662-cd09-4693-b96b-46a5af37c58d,Families,2012-08-27T07:01:32.920401,2012-08-27T12:13:37.802755,application/rdf+xml,http://cldbstest.eva.mpg.de/asjp/downloads/families.rdf.zip,0,0
a3258e04-ed56-48b7-9cd3-0d7facb1e379,asjp,Creative Commons Attribution,cc-by,True,0,0,c6e7b08d-0602-4534-8910-8c7e83c93644,Senses,2012-08-27T07:01:32.920432,2012-08-27T12:13:37.802755,application/rdf+xml,http://cldbstest.eva.mpg.de/asjp/downloads/senses.rdf.zip,0,0
a3258e04-ed56-48b7-9cd3-0d7facb1e379,asjp,Creative Commons Attribution,cc-by,True,0,0,793a1590-85e7-4f7a-8122-eb0941c61770,Distance,2012-08-27T07:01:32.920443,2012-08-27T12:02:41.302869,example/rdf+xml,http://cldbstest.eva.mpg.de/asjp/resource/distance/id/d13-468.rdf,0,0
a3258e04-ed56-48b7-9cd3-0d7facb1e379,asjp,Creative Commons Attribution,cc-by,True,0,0,201e2c83-877e-4cbd-881a-db61553f97a5,n/a,2012-08-27T07:12:05.772612,2012-08-27T12:18:11.780610,meta/rdf-schema,http://cldbstest.eva.mpg.de/asjp/ontologies/asjp.owl,0,0
33f96c79-5f2d-4884-bb49-39c28c84ac5f,asn-us,Creative Commons Attribution,cc-by,True,0,0,99a0284f-43be-4686-8c5b-f584c25a712e,Download,2012-08-17T11:10:58.307102,2012-08-21T20:54:49.089418,application/rdf+xml,https://commondatastorage.googleapis.com/ckannet-storage/2012-08-17T160730/asn_published_xml.tgz,0,0
33f96c79-5f2d-4884-bb49-39c28c84ac5f,asn-us,Creative Commons Attribution,cc-by,True,0,0,e3bd66f7-67bb-46d4-8ecd-41164078a842,SPARQL endpoint,2012-08-17T16:27:04.576831,2012-08-17T21:48:13.631769,api/sparql,http://sparql.jesandco.org:8890/sparql,0,0
33f96c79-5f2d-4884-bb49-39c28c84ac5f,asn-us,Creative Commons Attribution,cc-by,True,0,0,f5d417f0-2820-4c13-88ed-207ae401f5a2,Example (RDF/XML),2012-08-17T16:34:02.853838,2012-08-17T21:51:00.349808,example/rdf+xml,http://asn.jesandco.org/resources/S2377506.xml,0,0
33f96c79-5f2d-4884-bb49-39c28c84ac5f,asn-us,Creative Commons Attribution,cc-by,True,0,0,ea45bdef-6a28-4bcd-8e48-f7afc87ff394,RDF Schema,2012-08-17T17:05:18.528079,2012-08-17T22:14:58.121967,meta/rdf-schema,http://purl.org/ASN/schema/core/,0,0
33f96c79-5f2d-4884-bb49-39c28c84ac5f,asn-us,Creative Commons Attribution,cc-by,True,0,0,4dd34af4-3c63-428c-a49f-7941173bb8bf,Example (Turtle),2012-08-17T17:07:43.439604,2012-08-17T22:14:58.121967,example/turtle,http://asn.jesandco.org/resources/S2377506.ttl,0,0
33f96c79-5f2d-4884-bb49-39c28c84ac5f,asn-us,Creative Commons Attribution,cc-by,True,0,0,d009e74a-392f-4b99-9230-1ea8e17a8937,Example (N-Triples),2012-08-17T17:08:53.312587,2012-08-17T22:14:58.121967,example/ntriples,http://asn.jesandco.org/resources/S2377506.n3,0,0
