dataset.id,dataset.name,dataset.license_title,dataset.license_id,resource.id,resource.name,resource.created,resource.revision_timestamp,resource.format,resource.url
1988cae5-9092-41b3-8f60-ce21bb949909,fiwaretest-26888,,,752b3fd7-6870-4a03-93a4-6c09aeb729d4,entity01,2014-07-15T08:56:49.462746,2014-07-15T08:56:49.437528,,http://fakeurl.com
1f885c4a-1903-4816-803f-16baaf766024,foobab,Creative Commons Non-Commercial (Any),cc-nc,f93e4a86-d490-4217-bac3-a630ae45db94,Foobabb,2014-05-01T12:17:14.965203,2014-05-01T12:19:43.585136,TEXT,http://demo.ckan.org/dataset/1f885c4a-1903-4816-803f-16baaf766024/resource/f93e4a86-d490-4217-bac3-a630ae45db94/download/foobabb
1f885c4a-1903-4816-803f-16baaf766024,foobab,Creative Commons Non-Commercial (Any),cc-nc,717f0e19-fde7-4de3-9275-52a942debf3c,Random File,2014-05-01T12:23:16.483481,2014-05-01T12:23:16.448617,TEXT,http://demo.ckan.org/dataset/1f885c4a-1903-4816-803f-16baaf766024/resource/717f0e19-fde7-4de3-9275-52a942debf3c/download/foobabb
4d142c04-39ba-4f1b-bc94-dbdc4179cd83,foobarin-setti,License Not Specified,notspecified,47ac0f9a-272d-4c0b-a826-ef04af66d0a8,,2014-07-14T12:34:21.587340,2014-07-14T12:34:23.834780,,http://fsdfdsf
e4c41cd4-dbf3-4848-a9d1-69ff90561460,food-hygiene-information-scheme-rating-glasgow,UK Open Government Licence (OGL),uk-ogl,ad0331b0-44a3-4b70-b577-b2415fd7e9f6,,2013-12-16T17:37:42.313457,2013-12-16T17:38:04.876093,CSV,http://demo.ckan.org/dataset/e4c41cd4-dbf3-4848-a9d1-69ff90561460/resource/ad0331b0-44a3-4b70-b577-b2415fd7e9f6/download/20130819fsascotlandglasgowfhis.csv
a53c446e-a5bd-4932-a1cb-6a001b350744,foooooo,Creative Commons Non-Commercial (Any),cc-nc,de0d5a72-0467-4ac1-8de1-2c7c2354417d,Data Reader,2014-09-10T12:08:26.964154,2014-09-10T12:12:04.758765,,http://www.energysmartbirmingham.com/web/guest/data-reader
67b04c9f-a9a4-43e3-a009-0d0db76791b5,forgottenplaces,License Not Specified,notspecified,51e75d14-a4a1-4084-b73c-6f9ab71bb5f3,,2014-10-27T10:36:37.970663,2014-10-27T10:40:40.477383,,http://demo.ckan.org/dataset/67b04c9f-a9a4-43e3-a009-0d0db76791b5/resource/51e75d14-a4a1-4084-b73c-6f9ab71bb5f3/download/table.txt
67b04c9f-a9a4-43e3-a009-0d0db76791b5,forgottenplaces,License Not Specified,notspecified,57627198-228a-4436-aa05-201063551631,photo,2014-10-27T14:15:40.325230,2014-10-31T11:21:54.530027,,http://demo.ckan.org/dataset/67b04c9f-a9a4-43e3-a009-0d0db76791b5/resource/57627198-228a-4436-aa05-201063551631/download/photo.jpeg
67b04c9f-a9a4-43e3-a009-0d0db76791b5,forgottenplaces,License Not Specified,notspecified,a02d2bb1-68ee-4d51-9c12-362ca9b794ac,photo,2014-10-31T11:21:54.602516,2014-10-31T11:54:51.776215,,http://demo.ckan.org/dataset/67b04c9f-a9a4-43e3-a009-0d0db76791b5/resource/a02d2bb1-68ee-4d51-9c12-362ca9b794ac/download/photo.jpeg
67b04c9f-a9a4-43e3-a009-0d0db76791b5,forgottenplaces,License Not Specified,notspecified,efbc6891-018e-4747-b7a4-c652a29b1e2d,photo,2014-10-31T11:54:51.883181,2014-10-31T11:58:00.145433,,http://demo.ckan.org/dataset/67b04c9f-a9a4-43e3-a009-0d0db76791b5/resource/efbc6891-018e-4747-b7a4-c652a29b1e2d/download/photo.jpeg
