Property,Sum - Count
http://data.ordnancesurvey.co.uk/ontology/spatialrelations/contains,59049
http://purl.org/net7/vocab/gracc/v1#facility,59044
http://rdf.geospecies.org/ont/geospecies#hasUnknownExpectationOf,58850
http://rdf.geospecies.org/ont/geospecies#isUnknownAboutIn,58850
http://education.data.gov.uk/def/school/boarders,58349
http://education.data.gov.uk/def/school/boys4c,58211
http://education.data.gov.uk/def/school/specialPupils,58043
http://xmlns.com/foaf/0.1/familyName,57782
http://education.data.gov.uk/def/school/girls4c,57669
http://www.w3.org/2004/02/skos/core#narrower,57230
http://data.linkedmdb.org/resource/movie/runtime,57147
http://purl.org/dc/terms/relation,57097
http://purl.org/net7/vocab/scuole/v1#appartieneAIstituto,56082
http://purl.org/net7/vocab/scuole/v1#codiceMeccanografico,56082
http://education.data.gov.uk/def/school/superannuationCategory,55943
http://education.data.gov.uk/def/school/burnhamGroup,55942
http://education.data.gov.uk/def/school/boys4b,55932
http://data.linkedmdb.org/resource/oddlinker/linkage_score,55599
http://education.data.gov.uk/def/school/girls4b,55567
http://data.ordnancesurvey.co.uk/ontology/spatialrelations/containedBy,55385
http://openprovenance.org/model/opmo#endTime,54240
http://openprovenance.org/model/opmo#startTime,54240
http://iflastandards.info/ns/fr/frbr/frbrer/P3001,54230
http://eprints.org/relation/isVersionOf,53767
http://eprints.org/relation/isVolatileVersionOf,53762
http://www.holygoat.co.uk/owl/redwood/0.1/tags/taggedWithTag,53438
http://data.linkedmdb.org/resource/movie/director,53180
http://statistics.data.gov.uk/def/electoral-geography/ward,52933
http://worldbank.270a.info/property/as-of-date,52584
http://iflastandards.info/ns/isbd/elements/P1068,51345
http://education.data.gov.uk/def/school/religiousCharacter,51105
http://geo.data.gov.uk/0/ontology/geo#point,50732
http://data.linkedmdb.org/resource/movie/actor_actorid,50603
http://data.linkedmdb.org/resource/movie/actor_name,50603
http://iflastandards.info/ns/isbd/elements/P1064,50316
http://www.w3.org/2004/02/skos/core#scopeNote,50182
http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonym,49824
http://data.ordnancesurvey.co.uk/ontology/admingeo/hasCensusCode,49789
http://webenemasuno.linkeddata.es/ontology/OPMO/place,49728
http://sw.opencyc.org/concept/Mx4rZOAVeiYGEdqAAAACs2IMmw,49321
