Number of unique subjects: 23915,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71]
[10] http://id.southampton.ac.uk/stats-ns/continuing-at-institution,445,-,-,-,-,-,-,-,-,-,-,-,0,445,0,445,445,0,0,0,445,445,0,0,0,445,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0
[11] http://id.southampton.ac.uk/stats-ns/destination,5490,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,5490,0,0,0,5490,0,0,0,0,0,0,0,0,5490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5490,0,0,0,0,0,0,0,0,0,0,0,0,5490,0,0,0,0,0,0,0,0,0
[12] http://id.southampton.ac.uk/stats-ns/dormant,445,-,-,-,-,-,-,-,-,-,-,-,-,-,0,445,445,0,0,0,445,445,0,0,0,445,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0
[13] http://id.southampton.ac.uk/stats-ns/female,633,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,633,0,0,633,0,633,633,633,0,0,0,0,633,0,633,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,0,0,0,0,0
[14] http://id.southampton.ac.uk/stats-ns/gained-intended-award-or-higher,445,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,445,0,0,0,445,445,0,0,0,445,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0
[15] http://id.southampton.ac.uk/stats-ns/gained-other-award-at-a-lower-level,445,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,445,445,0,0,0,445,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0
[16] http://id.southampton.ac.uk/stats-ns/highestQualificationOnEntry,8640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,8640,0,0,0,8640,0,0,0,0,0,0,0,0,8640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8640,0,0,0,0,0,0,0,0,0,0,0,0,8640,0,0,0,0,0,0,0,0,0
[17] http://id.southampton.ac.uk/stats-ns/home,633,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,633,0,633,633,633,0,0,0,0,633,0,633,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,0,0,0,0,0
[18] http://id.southampton.ac.uk/stats-ns/jobType,2230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2230,0,0,0,2230,0,0,0,0,0,0,0,0,2230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2230,0,0,0,0,0,0,0,0,0,0,0,0,2230,0,0,0,0,0,0,0,0,0
[19] http://id.southampton.ac.uk/stats-ns/left-without-award,445,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,445,0,0,0,445,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0
[20] http://id.southampton.ac.uk/stats-ns/level,23192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,197,633,633,22466,197,4522,197,197,633,4522,754,4522,23192,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,17086,633,0,0,0,0,0,0,0,0,0,0,0,23192,4522,0,0,0,0,0,0,0,0
[21] http://id.southampton.ac.uk/stats-ns/lower-undivided-second-class,197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,197,197,0,197,197,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0
[22] http://id.southampton.ac.uk/stats-ns/male,633,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,633,633,0,0,0,0,633,0,633,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,0,0,0,0,0
