Number of unique subjects: 5765635,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78]
[10] http://govwild.org/ontology/certifyingOfficial,10496,-,-,-,-,-,-,-,-,-,-,-,10496,0,0,0,0,0,10496,0,10496,0,0,10496,0,5708,10496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,10496,0,0,10496,10496,0,0,0,0,10496,0,0,10496,10496,0,0,0,0,0,10496,10496,0
[11] http://govwild.org/ontology/certifyingOrganization,10496,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,10496,0,10496,0,0,10496,0,5708,10496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,10496,0,0,10496,10496,0,0,0,0,10496,0,0,10496,10496,0,0,0,0,0,10496,10496,0
[12] http://govwild.org/ontology/city,346405,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,284263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213964,0,260108,0,0,0,0,346405,0,0,0,0,279336,346405,346405,0
[13] http://govwild.org/ontology/code,476976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,476976,0,0,0,0,0,0,476976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476976,0,0,0,0,0,0,476976,0,0,0,0,476976,476976,476976,0
[14] http://govwild.org/ontology/commitmentPositionKey,114636,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,114636,0,114636,0,0,114636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114636,0,0,114636,114636,0,0,0,0,114636,0,0,0,114636,0,0,0,0,0,114636,114636,0
[15] http://govwild.org/ontology/congressNumber,41043,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12551,0,0,0,0,0,12551,12551,0
[16] http://govwild.org/ontology/country,764296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,476976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629615,0,198930,0,0,0,0,764296,0,0,0,0,750989,764296,764296,0
[17] http://govwild.org/ontology/currency,1095971,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1095970,0,0,989888,0,5708,21795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1095971,0,0,1095971,1095332,0,0,0,0,1095971,0,0,10496,1095971,0,0,0,0,0,1095971,1095971,0
[18] http://govwild.org/ontology/dataEntry,679286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103424,0,0,0,0,0,103424,103424,0
[19] http://govwild.org/ontology/date,2699148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,989888,0,5708,21795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601583,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1095970,0,0,1095970,1095331,0,0,0,0,1095970,0,0,10496,2697553,1601583,0,0,0,0,2697553,2697553,0
